Ano;Nº do Processo;Tramitação;Tipo de Contrato;Tipo de instrumento Macro;Objeto de Análise;Tipo de Serviços ou parcerias;Parceiro / Contratante;CNPJ;Unidade UFRJ;Sigla Unidade;Centro;Coordenador;Interveniente;Status;Nº Parecer;Parecer;Valor do Projeto;Data de Entrada AGI;Data de Saída AGI;Mês de Entrada;Dias;Data dif;Dias úteis;% DADOS CONCLUÍDO;x;Referências;Data Abertura do processo no SEI;Dias entrada até a AGI;Entrada na Procuradoria;Saída da Procuradoria;Dias PROC;Contrato assinado?;Desistiu da Tramitação do processwo;Data de assinatura do contrato;Dias até a assinatura;Vigência do proj (em meses);ANOTAÇÕES;Responsável;Código;Atividade Principal (CNAE);Ano de assinatura do contrato
2022;23079.236969/2022-22;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;Petróleo Brasileiro S.A. Petrobrás ;33.000.167/0001-01;"o Instituto de 
Geociências";IGEO;CCMN;João Graciano Mendonça Filho;Coppetec;Concluído;164/2022;Totalmente favorável;2642104.37;2022-09-30;2022-09-30;Set;1.0;44834.0;1;1.0;1;Desenvolvimento tecnológico para determinação de maturação térmica;2022-08-23 00:00:00;38;-;-;-;Sim;;44848;52.0;24;;;;;
2022;23079.236905/2022-21;1ª tramitação;Prestação de Serviços;Prestação de Serviços;Contrato;Estudos Técnicos;Lazarus Consultoria, Engenharia e Gerenciamento Ltda.;29.039.665/0001-90;Departamento de Engenharia de Transporte;POLI;CT;Marcelo Gomes Miguez;Coppetec;Concluído;166/2022;Totalmente favorável;812960.92;2022-10-03;2022-10-13;Out;10.0;44838.0;7;1.0;1;“Programa de Drenagem e Manejo de Águas Pluviais do Município de Maricá”;2022-08-23 00:00:00;41;-;-;-;Sim;;44849;53.0;12;;;;;
2022;23079.236871/2022-75;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;Vale S.A.;33.592.510/0001-54;Laboratório de Tecnologia Mineral;COPPE;CT;Luiz Marcelo Marques Tavares;Coppetec;Concluído;185/2022;Totalmente favorável;114450;2022-10-24;2022-10-24;Out;1.0;44858.0;1;1.0;1;Desafios tecnológicos no processamento de minérios de ferro;2022-08-23 00:00:00;62;44882;44894;12;Sim;;44901;105.0;15;;;;;
2022;23079.237005/2022-00;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;Petróleo Brasileiro S.A. Petrobrás ;33.000.167/0001-01;"o Instituto de 
Geociências";IGEO;CCMN;João Graciano Mendonça Filho;Coppetec;Concluído;163/2022;Totalmente favorável;1828864.61;2022-09-30;2022-09-30;Set;1.0;44834.0;1;1.0;1;Biocronoestratigrafia integrada (Radiolários e Nanofósseis) para a seção marinha cretácea da MEq;2022-08-24 00:00:00;37;-;-;-;Sim;;44912;115.0;24;;;;;
2022;23079.237003/2022-11;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;Petróleo Brasileiro S.A. Petrobrás ;33.000.167/0001-01;"o Instituto de 
Geociências";IGEO;CCMN;João Graciano Mendonça Filho;Coppetec;Concluído;165/2022;Totalmente favorável;4833126.46;2022-09-30;2022-09-30;Set;1.0;44834.0;1;1.0;1;Faciologia orgânica das sucessões carbonáticas do intervalo Pré Sal da Bacia de Santos;2022-08-24 00:00:00;37;-;-;-;Sim;;44838;41.0;36;;;;;
2022;23079.237350/2022-35;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;Consórcio Intermunicipal Lagos São João para gestão ambiental das bacias da Região dos Lagos, do Rio São João e zona costeira;03.612.270/0001-41;Instituto de Geociências;IGEO;CCMN;Guilherme Hissa Villas Boas;Coppetec;Concluído;141/2022;Totalmente favorável;30000;2022-08-31;2022-09-01;Ago;1.0;44805.0;1;1.0;1;Diagnóstico etnogeomorfológico do alto curso da bacia hidrográfica do Rio Macaé;2022-08-25 00:00:00;6;-;-;-;Não;;;-44798.0;;;;;;
2022;23079.238402/2022-91;1ª tramitação;Prestação de Serviços;Prestação de Serviços;Contrato;Estudos Técnicos;Instituto Clima e Sociedade - ICS;22.428.410/0001-70;Programa de Planejamento Energético;COPPE;CT;Emilio Lèbre La Rovere;Coppetec;Concluído;157/2022;Totalmente favorável;900000;2022-09-22;2022-09-29;Set;7.0;44827.0;5;1.0;1;Clima e desenvolvimento: Visões 2030 - análise de estratégias de transição para a neutralidade climática do Brasil;2022-08-30 00:00:00;23;-;-;-;Não;;;-44803.0;9;;;;;
2022;23079.238212/2022-73;1ª tramitação;Outros;Outros;Contrato;Estudos Técnicos;Associação Bem Te Vi Diversidade;20.420.785/0001-69;Escola de Comunicação;ECO;CFCH;Rose Marie Santini;Coppetec;Concluído;151/2022;Favorável com recomendação;789830.58;2022-09-15;2022-09-16;Set;1.0;44820.0;1;1.0;1;Programa NetLab de Desinformação e Propaganda Digital;2022-08-30 00:00:00;16;44844;44859;15;Sim;;44886;83.0;;;;;;
2022;23079.238339/2022-92;1ª tramitação;Acordo de Parceria/ Convênio;Outros;Contrato;Outros;FINEP - Financiadora de Estudos e Projetos;33.749.086/0001-09;Centro Nacional de Biologia Estrutural e Bioimagem;CENABIO;CCS;Adalberto Ramon Vicyra;Coppetec;Concluído;176/2022;Totalmente favorável;1928761.65;2022-10-13;2022-10-17;Out;4.0;44848.0;2;1.0;1;Manutenção corretiva de equipamentos multiusuários do CENABIO-UFRJ;2022-08-30 00:00:00;44;-;-;-;Sim;;44865;62.0;12;;;;;
2023;23079.238160/2022-35;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;;Fundação Educacional Serra dos Órgâos - FESO;32.190.092/0001-06;CLA: Escola de Música (EM);CLA;CLA;Aloysio Moraes Rego Fagerlande;Sem Interveniente;Concluído;012/2023;Favorável com recomendação;Sem repasse;2023-02-09;2023-02-13;Fev;4.0;;2;1.0;1;Acordo de Cooperação Acadêmico, Técnico, Científico e Cultural;2022-08-30 00:00:00;163;44902;44932;30;Sim;;44991;188.0;60;Convênio guarda-chuvas. Recomendada definição do objeto e juntada do plano de trabalho.;;85.31-7-00;Educação superior - graduação;
2022;23079.239123/2022-44;1ª tramitação;Prestação de Serviços;Prestação de Serviços;Contrato;Estudos Técnicos;Município de Niterói;28.521.748/0001-59;Instituto Virtual Internacional de Mudanças Globais - IVIG;COPPE;CT;Marcos Aurélio Vasconcelos de Freitas;FUJB;Concluído;160/2022;Totalmente favorável;980000;2022-09-28;2022-10-05;Set;7.0;44833.0;5;1.0;1;avaliação do equilíbrio econômico-financeiro e da sustentabilidade dos contratos de concessão do serviço público de transporte coletivo de passageiros por ônibus do Município de Niterói;2022-09-02 00:00:00;26;44854;44859;5;Sim;;45110;304.0;6;;;;;
2022;23079.239123/2022-44;Retorno de Processo;Prestação de Serviços;Prestação de Serviços;Contrato;Estudos Técnicos;Município de Niterói;;Instituto Virtual Internacional de Mudanças Globais;COPPE;CT;Jorge Henrique Alves Prodanoff;FUJB;Concluído;214/2022;Totalmente favorável;980000;2022-11-23;2022-11-29;Nov;6.0;44889.0;4;1.0;1;Avaliação do equilíbrio economico-financeiro e da sustentabilidade dos contratos de concessão do serviço público de transporte coletivo de passageiros por ônibus do Município de Niterói;2022-09-02 00:00:00;82;44855;44887;32;Sim;;45110;304.0;6;;;;;
2022;23079.239186/2022-09;1ª tramitação;Prestação de Serviços;Prestação de Serviços;Contrato;Análises, testes e ensaios laboratoriais, medições e instrumentação de campo;"SERVIÇO NACIONAL DE APRENDIZAGEM INDUSTRIAL – CENTRO DE TECNOLOGIA DA
INDÚSTRIA QUÍMICA E TÊXTIL";03.851.105/0001-42;Instituto de Nutrição Josué de Castro;INJC;CCS;Anna Paola Trindade Rocha Pierucci;Coppetec;Concluído;216/2022;Totalmente favorável;35000;2022-11-28;2022-12-01;Nov;3.0;44894.0;3;1.0;1;Produção de extratos proteícos da torta de cupuaçu e torta de castanha do Brasil para aplicações alimentícias;2022-09-04 00:00:00;85;-;-;-;Sim;;44903;95.0;7;;;;;
2022;23079.239274/2022-01;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Estudos Técnicos;Ministério Público da União;26.989.715/0032-09;Núcleo de Estudos de Políticas Públicas em Direitos Humanos Suely Souza de Almeida;NEPP-DH;CFCH;Ricardo Rezende Figueira;FUJB;Concluído;144/2022;Totalmente favorável;49558.95;2022-09-05;2022-09-09;Set;4.0;44810.0;3;1.0;1;Reunião Científica Trabalho Escravo Contemporaneo e Questões Correlatas;2022-09-05 00:00:00;0;44812;44812;0;Não;;;-44809.0;;;;;;
2022;23079.239321/2022-16;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Cursos e capacitações;Universidade Federal Fluminense;28.523.215/0001-06; Instituto de Biologia;IB;CCS;Rodrigo Soares de Moura Neto;Sem Interveniente;Concluído;156/2022;Totalmente favorável;Sem repasse;2022-09-22;2022-09-26;Set;4.0;44827.0;2;1.0;1;Formação prática a bordo do Laboratório de Ensino Flutuante - LEF Ciências do Mar III;2022-09-05 00:00:00;17;45006;45009;3;Não;;;-44809.0;60;;;;;
2022;23079.239452/2022-95;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Outros;FINEP - Financiadora de Estudos e Projetos;33.749.086/0001-09;Parque Tecnológico ;PT;GR;Teresa Cristina da Silva Costa;Coppetec;Concluído;203/2022;Totalmente favorável;14037282.69;2022-11-16;2022-11-21;Nov;5.0;44882.0;3;1.0;1;Parque Tecnológico da UFRJ: um projeto em expansão no contexto físico-digital;2022-09-05 00:00:00;72;-;-;-;Sim;;44914;;60;;;;;
2022;23079.239546/2022-64;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;Petróleo Brasileiro S.A. Petrobrás ;33.000.167/0001-01;Departamento de Engenharia Química;EQ;CT;Papa Matar Ndiaye;Coppetec;Concluído;161/2022;Totalmente favorável;1530117.61;2022-10-05;2022-10-14;Out;9.0;44840.0;6;1.0;1;Modelos termodinâmicos para determinação da umidade de correntes gasosas ricas em CO2 em cenário submarinos de processamento;2022-09-06 00:00:00;29;-;-;-;Sim;;44853;43.0;36;;;;;
2022;23079.240130/2022-99;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;AMBEV S.A. ;07.526.557/0001-00;Instituto de Nutrição Josué de Castro;INJC;CCS;Ellen Cristina Quirino Lacerda;Coppetec;Concluído;202/2022;Totalmente favorável;120960;2022-11-16;2022-11-18;Nov;2.0;44882.0;2;1.0;1;Estudo dos nutrientes e substância bioativa da cerveja Budweiser;2022-09-09 00:00:00;68;44881;44881;0;Sim;;44901;88.0;18;;;;;
2022;23079.240130/2022-99;Retorno de Processo;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;AMBEV S.A. ;07.526.557/0001-00;Instituto de Nutrição Josué de Castro;INJC;CCS;Ellen Cristina Quirino Lacerda;Coppetec;Concluído;Folha Informação;Outro;120960;2022-11-30;2022-12-01;Nov;1.0;44896.0;1;1.0;1;Estudo dos nutrientes e substância bioativa da cerveja Budweiser;2022-09-09 00:00:00;82;44881;44881;0;Sim;;44901;88.0;18;;;;;
2022;23079.240560/2022-19;1ª tramitação;Prestação de Serviços;Prestação de Serviços;Contrato;Estudos Técnicos;Vibra Energia S.A.;34.274.233/0001-02;Instituto de Pesquisas de Produtos Naturais;IPPN;CCS;Luzineide Wanderley Tinoco;FUJB;Concluído;175/2022;Totalmente favorável;9600;2022-10-13;2022-10-16;Out;3.0;44848.0;1;1.0;1;Quantificação do tri (1,3,5-hidroxietil) triazina (MEA-triazina) a partir da análise dos espectros quantitativos de RMN de 13C de 03 (três) amostras;2022-09-12 00:00:00;31;-;-;-;Não;;;-44816.0;12;;;;;
2022;23079.240560/2022-19;Retorno de Processo;Prestação de Serviços;Prestação de Serviços;Outros;Análises, testes, ensaios;Vibra Energia S.A.;34.274.233/0001-02;Instituto de Pesquisas de Produtos Naturais;IPPN;CCS;Luzineide Tinoco;FUJB;Concluído;Folha Informação;Outro;6400;2022-11-13;2022-11-22;Nov;9.0;44879.0;6;1.0;1;Serviços técnicos especializados de análise por Ressonância Magnética Nuclear ;2022-09-12 00:00:00;62;-;-;-;Não;;;-44816.0;10 dias;;;;;
2022;23079.241012/2022-06;1ª tramitação;Prestação de Serviços;Prestação de Serviços;Contrato;Cursos e capacitações;Município do Rio de Janeiro;42.498.733/0001-48;COPPEAD;COPPEAD;CCJE;Elaine Maria Tavares Rodrigues ;Coppetec;Concluído;154/2022;Favorável com recomendação;890000;2022-09-21;2022-09-23;Set;2.0;44825.0;3;1.0;;Prestação de serviços educacionais corporativos para os integrantes do programa líderes cariocas da Prefeitura da cidade do Rio de Janeiro.;2022-09-14 00:00:00;7;44825;44825;0;Sim;;44896;;12;;;;;
2022;23079.241869/2022-18;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Estudos Técnicos;AMBEV S.A. ;07.526.557/0001-00,;Escola de Química;EQ;CT;"Bernardo Dias 
Ribeiro";Coppetec;Concluído;162/2022;Totalmente favorável;254044.39;2022-09-29;2022-10-05;Set;7.0;44834.0;4;1.0;1;Caracterização físico-química e avaliação das propriedades bioativas e tecnológicas de extratos de guaraná;2022-09-18 00:00:00;11;44833;44833;0;Não;;;-44822.0;18;;;;;
2022;23079.242223/2022-58;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;AMBEV S.A. ;07.526.557/0001-00;Instituto de Pesquisas de Produtos Naturais;IPPN;CCS;Marina Amaral Alves;Coppetec;Concluído;181/2022;Totalmente favorável;231728;2022-10-21;2022-10-21;Out;1.0;44855.0;1;1.0;1;Estudo dos componentes da cerveja que podem estar associados ao “bloating” – Skol Pilsen;2022-09-20 00:00:00;31;44858;44858;0;Não;;;-44824.0;18;;;;;
2022;23079.242196/2022-13;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Outros;E A UNIBO, SAPIENZA, COLBY, ASU, UOA, KSU, USP, TUFS, RITS;;Faculdade de Letras;FL;CLA;Andrea Giuseppe Lombardi;Sem Interveniente;Concluído;194/2022;Totalmente favorável;Sem repasse;2022-11-01;2022-11-05;Nov;4.0;44867.0;2;1.0;1;"Pesquisa colaborativa ""Emilio Villa no século 21 - EV21""";2022-09-20 00:00:00;42;44873;44930;57;Sim;;2023-08-03 00:00:00;-44824.0;Indeterminado ;;;;;2023.0
2023;23079.242196/2022-13;Retorno de Processo;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Acordo de Cooperação Internacional para CT&I ;E A UNIBO, SAPIENZA, COLBY, ASU, UOA, KSU, USP, TUFS, RITS;;CLA: Faculdade de Letras (FL);FL;CLA;Andrea Giuseppe Lombardi;Sem Interveniente;Concluído;64/2023;Totalmente favorável;Sem Repasse;2023-04-25;2023-04-30;Abr;5.0;;3;1.0;1;Emilio Villa no século 21 (EV21) ;2022-09-20 00:00:00;217;;;0;Sim;;2023-08-03 00:00:00;-44824.0;Indeterminado ;;;;;2023.0
2022;23079.242774/2022-11;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;Petróleo Brasileiro S.A. Petrobrás ;33.000.167/0819-42;Programa de Engenharia Civil;COPPE;CT;Webe Joáo Mansur;Coppetec;Concluído;197/2022;Totalmente favorável;2496916.04;2022-11-07;2022-11-09;Nov;2.0;44872.0;3;1.0;1;Desenvolvimento e análise de diferentes modelos matemáticos e métodos numéricos para modelagem da propagação da onda e suas aplicações em geofísica;2022-09-21 00:00:00;47;-;-;-;Sim;;44876;51.0;44875;;;;;
2023;23079.2429772022-16;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Estudos Técnicos;IMTT - Instituto Municipal de Transito e Transportes;01.101.750/0001-12;CT: Instituto Alberto Luiz Coimbra de Pós-Graduação e Pesquisa de Engenharia (Coppe);COPPE;CT;Matheus Henrique de Sousa Oliveira;Sem Interveniente;Concluído;016/2023;Favorável com recomendação;Sem repasse;2023-02-16;2023-02-17;Fev;1.0;;1;1.0;1;MODELO DE COLETA E ANÁLISE DE DADOS EM ESCALA REAL NO MUNICÍPIO DE CAMPOS DOS GOYTACAZES/RJ, NO CONTEXTO DO PROJETO DE PESQUISA INTITULADO “MOB 4.0 - HUB DE PLANEJAMENTO INTELIGENTE DA MOBILIDADE DO ESTADO DO RIO DE JANEIRO;2022-09-22 00:00:00;147;;;0;Não;;;-44826.0;12;;;84.11-6-00;Administração pública em geral;
2022;23079.243063/2022-64;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;CarbonAir Energy Ltda.;46.782.080/0001-85;Instituto de Química;IQ;CCMN;Claudio Jose de Araújo Mota;Sem Interveniente;Concluído;179/2022;Totalmente favorável;Sem repasse;2022-10-17;2022-10-19;Out;2.0;44852.0;2;1.0;1;Desenvolvimento de Tecnologias Inovadoras em Química Verde e Sustentável;2022-09-23 00:00:00;24;44860;44915;55;Sim;;44952;125.0;60;;;;;
2022;23079.243262/2022-72;1ª tramitação;Prestação de Serviços;Prestação de Serviços;Contrato;Cursos e capacitações;Vale S.A.;33.592.510/0001-54;Programa de Engenharia Civil;COPPE;CT;Fernando Artur Brasil Danziger;Coppetec;Concluído;204/2022;Favorável com recomendação;775360;2022-11-16;2022-11-21;Nov;5.0;44882.0;3;1.0;1;Prestação de serviços para desenvolver e ministrar o Treinamento de formação de engenheiros geotécnicos da Vale sobre as melhores práticas na execução dos principais e mais usuais ensaios de campo e laboratório aplicados à engenharia geotécnica;2022-09-23 00:00:00;54;-;-;-;Sim;;44900;73.0;12;;;;;
2022;23079.243456/2022-78;1ª tramitação;Prestação de Serviços;Prestação de Serviços;Contrato;Estudos Técnicos;LZ Energia Ltda.;29.945.732/0001-36;Departamento de Engenharia Mecânica;POLI;CT;Silvio Carlos Anibal de Almeida;Coppetec;Concluído;171/2022;Favorável com recomendação;634266.5;2022-10-10;2022-10-15;Out;5.0;44845.0;3;1.0;1;Serviços técnicos de estudo e ensaios de adição de hidrogênio em motores diesel;2022-09-26 00:00:00;14;44851;44872;21;Não;;;-44830.0;18;;;;;
2022;23079.243400/2022-13;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;AMBEV S.A. ;07.526.557/0001-00;Faculdade de Farmácia;FF;CCS;Priscilla Vanessa Finotelli;Coppetec;Concluído;200/2022;Totalmente favorável;329728;2022-11-11;2022-11-14;Nov;3.0;44877.0;1;1.0;1;Produção piloto de nanossistema e pré-clínico - projeto Ipanema;2022-09-26 00:00:00;46;44880;44885;5;Não;;;-44830.0;12;;;;;
2022;23079.243345/2022-61;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;Universidad de La Laguna;;Instituto de Biodiversidade e Sustentabilidade;NUPEM;CCS;Angelica Ribeiro Soares;Sem Interveniente;Concluído;240/2022;Totalmente favorável;Sem repasse;2022-12-16;2022-12-16;Dez;1.0;44911.0;1;1.0;1;Cooperação de pesquisa conjunta em Química orgânica, Farmácia e Ecologia Química;2022-09-26 00:00:00;81;44917;44924;7;Não;;;-44830.0;48;;;;;
2023;23079.243400/2022-13;Retorno de Processo;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;Ambev S.A;07.526.557/0065-74;CCS: Faculdade de Farmácia (FF);FF;CCS;Priscilla Vanessa Finotelli;Coppetec;Concluído;Folha Informação;Outro;;2023-08-16;2023-08-28;Ago;16.0;;8;1.0;1;Produção Piloto de Nanossistema e pré-cliníco – Projeto Ipanema;2022-09-26 00:00:00;324;44880;44881;1;Não;;;-44830.0;12;Requer pagamento de GRUs do INPI;;72.10-0-00;Pesquisa e desenvolvimento experimental em ciências físicas e naturais;
2022;23079.243815/2022-97;1ª tramitação;Prestação de Serviços;Prestação de Serviços;Contrato;Estudos Técnicos;Petróleo Brasileiro S.A. Petrobrás ;33.000.167/0001-01 ;Programa de Engenharia Metalúrgica de Materiais;COPPE;CT;Luiz Henrique de Almeida ;Coppetec;Concluído;168/2022;Favorável com recomendação;411075;2022-10-05;2022-10-14;Out;9.0;44840.0;6;1.0;1;Estudo para investigação das propriedades de resistência à fluência e de tração em temperaturas elevadas a ser realizado em amostras dos tubos de fornos reformadores;2022-09-27 00:00:00;8;44839;44839;0;Sim;;44910;79.0;14;;;;;
2022;23079.243780/2022-96;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;Petróleo Brasileiro S.A. Petrobrás ;33.000.167/0001-01;Programa de Engenharia Civil;COPPE;CT;Alvaro Luiz Gayoso de Azeredo Coutinho;Coppetec;Concluído;186/2022;Totalmente favorável;5450112.81;2022-10-26;2022-10-27;Out;1.0;44861.0;1;1.0;1;Quantificação de dados sismicos multicomponentes aplicados ao imageamento sísmico;2022-09-27 00:00:00;29;-;-;-;Sim;;44868;37.0;48;;;;;
2023;23079.243653/2022-97;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Acordo de Cooperação Técnica;Universidade Federal do Maranhão;06.279.103/0001-19;CCS: Instituto de Pesquisas de Produtos Naturais (IPPN);IPPN;CCS;Lidilhone Hamerski Carbonezi;Sem Interveniente;Concluído;049/2023;Totalmente favorável;Sem repasse;2023-04-04;2023-04-06;Abr;2.0;;2;1.0;1;Convênio de Cooperação Acadêmico, Técnico, Científico e Cultural;2022-09-27 00:00:00;189;45023;45026;3;Não;;;-44831.0;60;;;85.31-7-00;Educação superior - graduação;
2023;23079.243942/2022-96;1ª tramitação;Outros;Outros;Outros;Indicação para Comitê;;;;;;;;;092/2022;;;2023-05-18;2023-05-30;Mai;12.0;;8;1.0;1;;2022-09-28 00:00:00;232;44832;44832;0;;;;-44832.0;;;;;;
2022;23079.244209/2022-99;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;AMBEV S.A. ;07.526.557/0001-00;Programa de Engenharia Química;COPPE;CT;José Carlos Costa da Silva Pinto;Coppetec;Concluído;199/2022;Totalmente favorável;400000;2022-11-11;2022-11-14;Nov;3.0;44877.0;1;1.0;1;Reciclagem química de resíduos plásticos pós consumo para agregar valor a resíduos plásticos e produtos da AMBEV - Fase II: planta contínua;2022-09-29 00:00:00;43;44889;44889;0;Não;;;-44833.0;18;;;;;
2022;23079.244238/2022-51;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;AMBEV S.A. ;07.526.557/0001-00;CCMN;CCMN;CCMN;ANITA FERREIRA DO VALLE;Coppetec;Concluído;221/2022;Totalmente favorável;166000;2022-12-02;2022-12-07;Dez;5.0;44898.0;3;1.0;1;Sequestro de CO2 por microalgas num sistema sustentável;2022-09-29 00:00:00;64;-;-;-;Sim;;44904;71.0;18;;;;;
2022;23079.244675/2022-74;1ª tramitação;Prestação de Serviços;Prestação de Serviços;Contrato;Cursos e capacitações;Empresa de Pesquisa Energética - EPE;06.977.747/0002-61;Instituto de Economia;IE;CCJE;Marina Honorio de Souza Szapiro;FUJB;Concluído;234/2022;Totalmente favorável;24000;2022-12-13;2022-12-15;Dez;2.0;44909.0;2;1.0;1;Capacitação em Economia da Inovação;2022-09-30 00:00:00;74;-;-;-;Sim;;44915;81.0;5;;;;;
2022;23079.245258/2022-49;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;Instituto Estadual do Ambiente – INEA;10.598.957/0001-35;Instituto de Química ;LADETEC/IQ – UFRJ;CCMN;Débora de Almeida Azevedo;Coppetec;Concluído;192/2022;Totalmente favorável;829900;2022-10-31;2022-11-05;Nov;5.0;44866.0;3;1.0;1;Desenvolvimento de métodos analíticos visando a ampliação do monitoramento ambientalde contaminantes antrópicos utilizando técnicas analíticas e avançadas;2022-10-04 00:00:00;27;44890;44893;3;Não;;;-44838.0;24;;;;;
2022;23079.245245/2022-70;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Outros;Fundação Bienal de Artes Visuais do Mercosul;01.546.913/0001-70;Escola de Belas Artes ;EBA;CLA;Carlos Augusto Moreira da Nóbrega;Coppetec;Concluído;205/2022;Totalmente favorável;12000;2022-11-16;2022-11-22;Nov;6.0;44881.0;5;1.0;1;Apoio cultural e financeiro para criação, construção e montagem de obra de arte inovadora de autoria do artista Carlos Augusto Moreira da Nóbrega (Guto Nóbrega);2022-10-04 00:00:00;43;44881;44881;0;Não;;;-44838.0;6;;;;;
2022;23079.245105/2022-00;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;Petróleo Brasileiro S.A. Petrobrás ;33.000.167/0001-01 ;Centro de Tecnologia;COPPE;CT;Juliana Braga Rodrigues Loureiro;Coppetec;Concluído;184/2022;Totalmente favorável;2499535.77;2022-10-24;2022-10-24;Out;1.0;44858.0;1;1.0;1;Avaliação do desempenho da tecnologia de campos magnéticos em presença de misturas água/óleo em diferentes proporções;2022-10-04 00:00:00;20;-;-;-;Sim;;44868;30.0;24;;;;;
2023;23079.245099/2022-82;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Convenio;Instituto Nacional de Metrologia, Qualidade e Tecnologia - INMETRO;00.662.270/0003-20;CCMN: Instituto de Fí­sica (IF);IF;CCMN;Erica Ribeiro Polycarpo Macedo ;Sem Interveniente;Concluído;111/2023;Totalmente favorável;Sem repasse;2023-07-05;2023-07-19;Jul;14.0;;10;1.0;1;Cooperação entre o Inmetro e o Instituto de Física da UFRJ para atividades de Pesquisa, Ensino e Extensão;2022-10-04 00:00:00;274;45135;45135;0;Sim;;2024-09-18 00:00:00;-44838.0;60;;;84.11-6-00;Administração pública em geral;2024.0
2022;23079.245579/2022-43;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;Petróleo Brasileiro S.A. Petrobrás ;33.663.683/0001-16;LABORATÓRIO DE ESTRUTURAS E MATERIAIS PROFESSOR LOBO CARNEIRO/ LABEST/COPPE;COPPE;CT;Alexandre Landesman;Coppetec;Concluído;189/2022;Totalmente favorável;4699637.22;2022-10-27;2022-10-29;Out;2.0;44861.0;1;1.0;1;Novo conceito estrutural para cascos de FPSOs Robot Friendly - Ensaios Experimentais;2022-10-06 00:00:00;21;-;-;-;Sim;;44875;35.0;36;;;;;
2022;23079.246311/2022-29;1ª tramitação;Emenda Parlamentar/Subvenção;Outros;Contrato;Outros;FUJB;42.429.480/0001-50;Instituto de Ciências Biomédicas;ICB;CCS;Joice Stipursky Silva;Sem Interveniente;Concluído;222/2022;Outro;285000;2022-12-06;2022-12-08;Dez;2.0;44902.0;2;1.0;1;Modernização de Laboratório Compartilhado de pesquisas em Neurociências Básica e Translacional para estudo de doenças congênitas, neurodegenerativas e traumáticas no Rio de Janeiro;2022-10-10 00:00:00;57;44896;44900;4;Sim;;44921;77.0;60;;;;;
