Ano;Nº do Processo;Tramitação;Tipo de Contrato;Tipo de instrumento Macro;Objeto de Análise;Tipo de Serviços ou parcerias;Parceiro / Contratante;CNPJ;Unidade UFRJ;Sigla Unidade;Centro;Coordenador;Interveniente;Status;Nº Parecer;Parecer;Valor do Projeto;Data de Entrada AGI;Data de Saída AGI;Mês de Entrada;Dias;Data dif;Dias úteis;% DADOS CONCLUÍDO;x;Referências;Data Abertura do processo no SEI;Dias entrada até a AGI;Entrada na Procuradoria;Saída da Procuradoria;Dias PROC;Contrato assinado?;Desistiu da Tramitação do processwo;Data de assinatura do contrato;Dias até a assinatura;Vigência do proj (em meses);ANOTAÇÕES;Responsável;Código;Atividade Principal (CNAE);Ano de assinatura do contrato
2023;23079.214554/2021-17;Retorno de Processo;Prestação de Serviços;Prestação de Serviços;Contrato;Estudos Técnicos;Marinha do Brasil - Diretoria de Desenvolvimento Nuclear e Tecnológico;12.059.276/0001-24;"Programa de 
Engenharia Oceânica";COPPE;CT;Segen Farid Estefen;Coppetec;Concluído;025/2023;Totalmente favorável;1458126;2023-03-06;2023-03-07;Mar;1.0;;1;1.0;1;: Peritagem sobre custo de apoio operacional em contrato de construção de estaleiro e base nava;2021-05-19 00:00:00;656;45003;45005;2;Sim;;2024-11-14 00:00:00;-44335.0;6;;;84.22-1-00;Defesa;2024.0
2022;23079.219142/2021-73;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;;CEDAPS - Centro de Promoção da Saúde;73.542.613/0001-04;Instituto de Estudos de Saúde Coletiva;IESC;CCS;Antonio Jose Leal Costa;Sem Interveniente;Concluído;14/2022;Totalmente favorável;;2022-02-14;2022-02-15;Fev;1.0;44607.0;1;1.0;1;Acordo de Cooperação entre  UFRJ-IESC e CEDAPS;2021-06-28 00:00:00;231;44608;44617;9;Sim;;44938;563.0;60;;;;;
2023;23079.026433/2019-03;Retorno de Processo;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Acordo de Cooperação Técnica;Confederação Brasileira de Hóquei sobre a Grama e Indoor;04.854.197/0001-87;CCS: Escola de Educação Física e Desportos (EEFD);EEFD;CCS;Gustavo Amany Gonçalves Sotelo;Sem Interveniente;Concluído;149/2023;Totalmente favorável;Sem repasse;2023-08-17;2023-08-24;Ago;6.0;;4;1.0;;Acordo de Cooperação entre a Confederação Brasileira de Hóquei sobre a Grama e Indoor (CBHG) e a Universidade Federal do Rio de Janeiro (Escola de Educação Física) ;2021-07-08 00:00:00;;44701;44701;0;Não;;;;24;;;94.30-8-00;Atividades de associações de defesa de direitos sociais;
2022;23079.223559/2021-31;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;Senai - SP;03.774.819/0001-02;Escola de Química;EQ;CT;Maria Alice Zarur Coelho;;Concluído;31/2022;Totalmente favorável;;2022-03-16;2022-03-17;Mar;1.0;44637.0;1;1.0;1;Cooperação acadêmica e técnico-científica entre a UFRJ e o SENAI–SP, com escopo educacional e de projetos de pesquisa, de desenvolvimento, empreendedorismo e inovação, visando ações conjuntas no âmbito da cooperação técnico científica em Bioprocessos e Biotecnologia;2021-07-28 00:00:00;231;44638;44662;24;Sim;;44817;412.0;60;;;;;
2023;23079.226931/2021-61;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Estudos Técnicos;Ministério Público do estado do Rio de Janeiro e Universidade Federal Rural do Rio de Janeiro;29.427.465/0001-05;Centro de Ciências Matemáticas e da Natureza;CCMN;CCMN;Luiz Francisco P. G. Maia;Sem Interveniente;Concluído;010/2023;Totalmente favorável;Sem repasse;2023-02-03;2023-02-10;Fev;7.0;;5;1.0;1;Estabelecimento de condições básicas de cooperação tripartite, com vistas ao intercâmbio de informações concernentes às mudanças ambientais no que tange ao clima e seus impactos sobre a cidade do Rio de Janeiro;2021-08-20 00:00:00;532;44970;44984;14;Sim;;2023-08-03 00:00:00;-44428.0;36;;;85.33-3-00;Educação superior - pós-graduação e extensão;2023.0
2022;23079.228113/2021-01;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;;MINISTÉRIO PÚBLICO DO TRABALHO - PROCURADORIA REGIONAL DO TRABALHO DA 1ª REGIÃO;;Instituto de Nutrição Josué de Castro;INJC;CCS;Renato Augusto da Silva Monteiro;FUJB;Concluído;09/2022;Totalmente favorável;200000;2022-02-01;2022-02-03;Fev;2.0;44594.0;2;1.0;1;Projeto TransGarçonne;2021-08-30 00:00:00;155;44593;44606;13;Sim;;44607;169.0;24;;;;;
2022;23079.230475/2021-53;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;;Instituto Municipal de Vigilância Sanitária, Vigilância de Zoonoses e de Inspeção Agropecuária - IVISA;42.498.733/0001-48;Faculdade de Farmácia;FF;CCS;André Luis de Alcantara Guimarães;Sem Interveniente;Concluído;06/2022;Totalmente favorável;0;2022-01-18;2022-01-18;Jan;1.0;44579.0;1;1.0;1;Desenvolvimento e padronização de métodos analíticos em microscopia de alimentos;2021-09-15 00:00:00;125;44580;44586;6;Sim;;44614;160.0;24;;;;;
2022;23079.042798/2019-77;1ª tramitação;Prestação de Serviços;Prestação de Serviços;Contrato;Consultoria;Estado do Rio de Janeiro;;Programa de Planejamento Energético;COPPE;CT;Marcos Aurélio Vasconcelos de Freitas;Coppetec;Concluído;97/2022;Totalmente favorável;6378605;2022-07-13;2022-07-15;Jul;2.0;44756.0;2;1.0;1;Prestação de serviços de apoio e análise técnica para a estruturação e elaboração de projetos da gestão pública - SEDEERI;2021-09-21 00:00:00;295;44897;44935;38;Sim;;44509;49.0;0;;;;;
2022;23079.231946/2021-41;1ª tramitação;Prestação de Serviços;Prestação de Serviços;Contrato;Consultoria;Estado do Rio de Janeiro;15.829.998/0001-09;Faculdade de Administração e Ciências Contábeis;FACC;CCJE;Aracéli Cristina de Sousa Ferreira;Coppetec;Concluído;177/2022;Totalmente favorável;315545.92;2022-10-13;2022-10-18;Out;5.0;44848.0;3;1.0;1;Contratação de serviços de consultoria acadêmica especializada, visando a construção de parâmetros para o reconhecimento dos ativos ambientais do estado do Rio de Janeiro, incluindo o seu valor econômico;2021-09-27 00:00:00;381;44699;44735;36;Sim;;44911;445.0;12;;;;;
2022;23079.232122/2021-98;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Estudos Clínicos;Senai - RJ;03.848.688/0063-55;Reitoria;GR;GR;Denise Pires de Carvalho;Sem Interveniente;Concluído;47/2022;Totalmente favorável;;2022-04-11;2022-04-13;Abr;2.0;44663.0;2;0.75;0;Monitorar a circulação de variantes de SARS-CoV-2 na população do Rio de Janeiro e relacionar a frequência destas variantes às suas características biológicas in vitro.;2021-09-28 00:00:00;195;44665;44669;4;Não;;;-44467.0;60;;;;;
